week_start,region_id,total_weight,total_amount,trade_count,price_per_kg,weather_region,water_temp,wind_speed,month,season_peak,week_of_year,week_of_year_sin,week_of_year_cos,rolling_weight_4w,rolling_weight_12w,lag_weight_1w,lag_weight_2w,lag_weight_3w,lag_price_1w,rolling_price_4w
2025-06-02,2,1032,2625000,9,2543.6046511627906,삼천포,18.86785714285714,1.7964285714285715,6,0,23,0.35460488704253584,-0.9350162426854147,13320.75,23115.166666666668,7441.0,1455.0,1793.0,5391.748420911168,6196.656534712082
2025-06-09,2,4844,20700000,13,4273.327828241123,삼천포,19.514285714285712,1.3107142857142857,6,0,24,0.23931566428755768,-0.970941817426052,2930.25,18909.5,1032.0,7441.0,1455.0,2543.6046511627906,5197.978883585327
2025-06-16,2,18,58000,1,3222.222222222222,삼천포,20.335714285714285,1.8428571428571427,6,0,25,0.12053668025532308,-0.992708874098054,3693.0,16085.166666666666,4844.0,1032.0,7441.0,4273.327828241123,4566.087750851966
2025-06-23,2,540,2230000,14,4129.62962962963,삼천포,21.010714285714283,1.5071428571428573,6,0,26,-3.216245299353273e-16,-1.0,3333.75,14863.25,18.0,4844.0,1032.0,3222.222222222222,3857.7257806343264
2025-06-30,2,358,1560000,16,4357.541899441341,삼천포,22.896428571428572,1.6392857142857145,6,0,27,-0.12053668025532283,-0.992708874098054,1608.5,14100.416666666666,540.0,18.0,4844.0,4129.62962962963,3542.1960828139413
2025-07-07,2,738,4934000,18,6685.636856368564,삼천포,23.567857142857143,1.1142857142857143,7,0,28,-0.23931566428755743,-0.9709418174260521,1440.0,9394.666666666666,358.0,540.0,18.0,4357.541899441341,3995.680394883579
2025-07-14,2,91,208000,5,2285.714285714286,삼천포,24.321428571428573,1.9535714285714287,7,0,29,-0.3546048870425356,-0.9350162426854148,413.5,7519.75,738.0,358.0,540.0,6685.636856368564,4598.757651915439
2025-07-21,2,440,1480000,13,3363.6363636363635,삼천포,25.50357142857143,1.0107142857142857,7,0,30,-0.46472317204376806,-0.8854560256532101,431.75,6431.166666666667,91.0,738.0,358.0,2285.714285714286,4364.630667788455
2025-07-28,2,3142,13730000,39,4369.828134945894,삼천포,26.349999999999998,1.082142857142857,7,0,31,-0.5680647467311556,-0.8229838658936566,406.75,5112.0,440.0,91.0,738.0,3363.6363636363635,4173.132351290138
2025-08-04,2,4484,21121000,42,4710.303300624442,삼천포,26.978571428571428,1.6071428571428572,8,0,32,-0.663122658240795,-0.7485107481711013,1102.75,1824.3333333333333,3142.0,440.0,91.0,4369.828134945894,4176.203910166277
2025-08-11,2,3416,10800000,38,3161.592505854801,삼천포,24.099999999999998,1.0642857142857143,8,0,33,-0.7485107481711011,-0.6631226582407952,2039.25,2048.5833333333335,4484.0,3142.0,440.0,4710.303300624442,3682.370521230246
2025-08-18,2,9533,37834000,66,3968.740165740061,삼천포,24.77857142857143,1.292857142857143,8,0,34,-0.8229838658936564,-0.5680647467311559,2870.5,2212.0,3416.0,4484.0,3142.0,3161.592505854801,3901.3400762653755
2025-08-25,2,1265,3041000,31,2403.9525691699605,삼천포,23.835714285714285,0.8392857142857143,8,0,35,-0.8854560256532096,-0.4647231720437691,5143.75,2386.3333333333335,9533.0,3416.0,4484.0,3968.740165740061,4052.6160267912996
2025-09-01,2,2185,3511000,26,1606.8649885583525,삼천포,23.95,1.0,9,1,36,-0.9350162426854147,-0.3546048870425359,4674.5,2405.75,1265.0,9533.0,3416.0,2403.9525691699605,3561.147135347316
2025-09-08,2,30867,121299000,51,3929.7307804451357,삼천포,23.514285714285712,1.2285714285714284,9,1,37,-0.970941817426052,-0.23931566428755774,4099.75,2184.1666666666665,2185.0,1265.0,9533.0,1606.8649885583525,2785.287557330794
2025-09-15,2,45317,139382500,44,3075.722135181058,삼천포,24.107142857142858,1.5,9,1,38,-0.992708874098054,-0.12053668025532357,10962.5,4754.916666666667,30867.0,2185.0,1265.0,3929.7307804451357,2977.3221259783777
2025-09-22,2,2426,7433000,20,3063.891178895301,삼천포,24.021428571428572,1.1428571428571428,9,1,39,-1.0,-1.8369701987210297e-16,19908.5,8486.333333333334,45317.0,30867.0,2185.0,3075.722135181058,2754.0676183386267
2025-10-20,2,45660,267201000,66,5851.971090670171,삼천포,22.478571428571428,1.9000000000000001,10,1,43,-0.8854560256532101,0.464723172043768,20198.75,8658.666666666666,2426.0,45317.0,30867.0,3063.891178895301,2919.052270769962
2025-10-27,2,46548,167931000,105,3607.69528228925,삼천포,20.900000000000002,3.182142857142857,10,1,44,-0.822983865893657,0.5680647467311548,31067.5,12402.166666666666,45660.0,2426.0,45317.0,5851.971090670171,3980.3287962979166
2025-11-03,2,33816,91514000,128,2706.233735509818,삼천포,19.385714285714283,1.7107142857142859,11,1,45,-0.7485107481711011,0.6631226582407952,34987.75,16273.583333333334,46548.0,45660.0,2426.0,3607.69528228925,3899.8199217589445
2025-11-10,2,37722,149951000,122,3975.160383860877,삼천포,18.396428571428572,1.6321428571428573,11,1,46,-0.6631226582407955,0.7485107481711007,32112.5,19054.916666666668,33816.0,46548.0,45660.0,2706.233735509818,3807.447821841135
2025-11-17,2,29166,92496000,110,3171.363916889529,삼천포,16.967857142857145,2.3714285714285714,11,1,47,-0.5680647467311559,0.8229838658936564,40936.5,21936.583333333332,37722.0,33816.0,46548.0,3975.160383860877,4035.265123082529
2025-11-24,2,23390,76664000,135,3277.640017101325,삼천포,15.700000000000001,2.0428571428571427,11,1,48,-0.4647231720437684,0.88545602565321,36813.0,23993.416666666668,29166.0,37722.0,33816.0,3171.363916889529,3365.113329637368
2025-12-01,2,35543,143150000,161,4027.515966575697,삼천포,14.464285714285714,2.7642857142857147,12,1,49,-0.35460488704253595,0.9350162426854147,31023.5,25657.916666666668,23390.0,29166.0,37722.0,3277.640017101325,3282.5995133403876
2025-12-08,2,17106,60521500,69,3538.027592657547,삼천포,13.103571428571428,2.4714285714285715,12,1,50,-0.2393156642875578,0.970941817426052,31455.25,27825.416666666668,35543.0,23390.0,29166.0,4027.515966575697,3612.920071106857
2022-12-26,3,5,48000,1,9600.0,거제도,16.8,5.8,12,1,52,6.432490598706546e-16,1.0,,,,,,,
2023-01-02,3,1050,3213000,17,3060.0,거제도,15.385714285714286,6.542857142857143,1,0,1,0.12053668025532305,0.992708874098054,,,5.0,,,9600.0,
2023-01-09,3,1880,6210000,22,3303.191489361702,거제도,15.1,6.757142857142857,1,0,2,0.23931566428755774,0.970941817426052,,,1050.0,5.0,,3060.0,
2023-01-16,3,507,1505000,13,2968.4418145956606,거제도,15.342857142857143,6.814285714285715,1,0,3,0.3546048870425356,0.9350162426854148,,,1880.0,1050.0,5.0,3303.191489361702,
2023-01-23,3,744,1365000,13,1834.6774193548388,거제도,13.885714285714286,8.057142857142859,1,0,4,0.4647231720437685,0.8854560256532099,860.5,,507.0,1880.0,1050.0,2968.4418145956606,4732.9083259893405
2023-01-30,3,312,743000,10,2381.4102564102564,거제도,13.957142857142857,6.042857142857143,1,0,5,0.5680647467311558,0.8229838658936564,1045.25,,744.0,507.0,1880.0,1834.6774193548388,2791.5776808280502
2023-02-06,3,288,750000,9,2604.1666666666665,거제도,14.385714285714286,6.485714285714286,2,0,6,0.6631226582407952,0.7485107481711011,860.75,,312.0,744.0,507.0,2381.4102564102564,2621.930244930614
2023-02-13,3,272,943000,12,3466.9117647058824,거제도,14.128571428571428,6.928571428571429,2,0,7,0.7485107481711011,0.6631226582407953,462.75,,288.0,312.0,744.0,2604.1666666666665,2447.1740392568554
2023-02-20,3,283,783000,16,2766.78445229682,거제도,13.928571428571429,5.942857142857143,2,0,8,0.8229838658936564,0.5680647467311559,404.0,,272.0,288.0,312.0,3466.9117647058824,2571.791526784411
2023-02-27,3,144,303000,6,2104.1666666666665,거제도,14.714285714285714,6.171428571428572,2,0,9,0.8854560256532099,0.4647231720437686,288.75,,283.0,272.0,288.0,2766.78445229682,2804.8182850199064
2023-03-13,3,3,40000,1,13333.333333333334,거제도,15.528571428571428,5.914285714285714,3,0,11,0.970941817426052,0.23931566428755804,246.75,,144.0,283.0,272.0,2104.1666666666665,2735.507387584009
2023-03-20,3,152,388000,8,2552.6315789473683,거제도,15.785714285714286,6.142857142857143,3,0,12,0.992708874098054,0.120536680255323,175.5,,3.0,144.0,283.0,13333.333333333334,5417.799054250676
2023-03-27,3,609,1919000,22,3151.0673234811165,거제도,16.271428571428572,5.685714285714285,3,0,13,1.0,-1.6081226496766366e-16,145.5,470.0,152.0,3.0,144.0,2552.6315789473683,5189.229007811047
2023-04-03,3,2002,4886000,46,2440.5594405594406,거제도,15.771428571428572,8.2,4,0,14,0.992708874098054,-0.12053668025532288,227.0,520.3333333333334,609.0,152.0,3.0,3151.0673234811165,5285.299725607121
2023-04-10,3,1112,2428000,38,2183.453237410072,거제도,15.442857142857141,5.685714285714286,4,0,15,0.9709418174260521,-0.2393156642875575,691.5,599.6666666666666,2002.0,609.0,152.0,2440.5594405594406,5369.397919080316
2023-04-17,3,1128,2504000,18,2219.8581560283687,거제도,16.175,9.274999999999999,4,0,16,0.9350162426854148,-0.35460488704253545,968.75,535.6666666666666,1112.0,2002.0,609.0,2183.453237410072,2581.9278950994994
2023-04-24,3,672,1257000,14,1870.5357142857142,거제도,16.114285714285714,6.5,4,0,17,0.8854560256532099,-0.4647231720437685,1212.75,587.4166666666666,1128.0,1112.0,2002.0,2219.8581560283687,2498.7345393697497
2023-05-29,3,192,576000,3,3000.0,거제도,19.514285714285712,5.3,5,0,22,0.46472317204376906,-0.8854560256532096,1228.5,581.4166666666666,672.0,1128.0,1112.0,1870.5357142857142,2178.601637070899
2023-06-05,3,24,48000,1,2000.0,거제도,19.714285714285715,3.5285714285714285,6,0,23,0.35460488704253584,-0.9350162426854147,776.0,571.4166666666666,192.0,672.0,1128.0,3000.0,2318.461776931039
2023-06-12,3,120,301000,4,2508.3333333333335,거제도,21.75714285714286,3.642857142857143,6,0,24,0.23931566428755768,-0.970941817426052,504.0,549.4166666666666,24.0,192.0,672.0,2000.0,2272.5984675785207
2023-06-19,3,120,404000,3,3366.6666666666665,거제도,21.542857142857144,5.328571428571428,6,0,25,0.12053668025532308,-0.992708874098054,252.0,536.75,120.0,24.0,192.0,2508.3333333333335,2344.717261904762
2023-06-26,3,96,138000,4,1437.5,거제도,21.32857142857143,5.5,6,0,26,-3.216245299353273e-16,-1.0,114.0,523.1666666666666,120.0,120.0,24.0,3366.6666666666665,2718.75
2023-07-03,3,96,201000,4,2093.75,거제도,22.014285714285712,3.6999999999999997,7,0,27,-0.12053668025532283,-0.992708874098054,90.0,519.1666666666666,96.0,120.0,120.0,1437.5,2328.125
2023-07-10,3,505,1143000,15,2263.366336633663,거제도,21.071428571428573,5.957142857142857,7,0,28,-0.23931566428755743,-0.9709418174260521,108.0,526.9166666666666,96.0,96.0,120.0,2093.75,2351.5625
2023-07-17,3,583,1493200,15,2561.2349914236706,거제도,23.37142857142857,4.128571428571428,7,0,29,-0.3546048870425356,-0.9350162426854148,204.25,556.3333333333334,505.0,96.0,96.0,2263.366336633663,2290.3207508250825
2023-07-24,3,24,55000,1,2291.6666666666665,거제도,26.385714285714283,2.2857142857142856,7,0,30,-0.46472317204376806,-0.8854560256532101,320.0,554.1666666666666,583.0,505.0,96.0,2561.2349914236706,2088.962832014334
2023-07-31,3,3293,15908050,70,4830.868508958397,거제도,28.585714285714285,3.8285714285714287,7,0,31,-0.5680647467311556,-0.8229838658936566,302.0,389.3333333333333,24.0,583.0,505.0,2291.6666666666665,2302.5044986810003
2023-08-07,3,1616,7772200,20,4809.529702970297,거제도,27.614285714285717,9.457142857142857,8,0,32,-0.663122658240795,-0.7485107481711013,1101.25,571.0833333333334,3293.0,24.0,583.0,4830.868508958397,2986.7841259205993
2023-08-14,3,1191,5539000,35,4650.713685978169,거제도,27.214285714285715,5.6571428571428575,8,0,33,-0.7485107481711011,-0.6631226582407952,1379.0,611.75,1616.0,3293.0,24.0,4809.529702970297,3623.3249675047573
2023-08-21,3,4661,23189400,47,4975.19845526711,거제도,28.414285714285715,5.657142857142857,8,0,34,-0.8229838658936564,-0.5680647467311559,1531.0,655.0,1191.0,1616.0,3293.0,4650.713685978169,4145.694641143383
2023-08-28,3,1241,6047900,26,4873.408541498791,거제도,27.542857142857144,5.871428571428572,8,0,35,-0.8854560256532096,-0.4647231720437691,2690.25,1027.4166666666667,4661.0,1191.0,1616.0,4975.19845526711,4816.577588293493
2023-09-04,3,579,863000,17,1490.5008635578583,거제도,27.38571428571429,8.642857142857142,9,1,36,-0.9350162426854147,-0.3546048870425359,2177.25,1128.8333333333333,1241.0,4661.0,1191.0,4873.408541498791,4827.2125964285915
2023-09-11,3,2064,6006900,62,2910.3197674418607,거제도,27.24285714285714,5.1000000000000005,9,1,37,-0.970941817426052,-0.23931566428755774,1918.0,1167.0833333333333,579.0,1241.0,4661.0,1490.5008635578583,3997.4553865754824
2023-09-18,3,2515,11736500,51,4666.600397614314,거제도,26.428571428571427,7.671428571428572,9,1,38,-0.992708874098054,-0.12053668025532357,2136.25,1329.0833333333333,2064.0,579.0,1241.0,2910.3197674418607,3562.3569069414048
2023-09-25,3,1257,5042900,33,4011.853619729515,거제도,25.5,5.257142857142857,9,1,39,-1.0,-1.8369701987210297e-16,1599.75,1530.6666666666667,2515.0,2064.0,579.0,4666.600397614314,3485.207392528206
2023-10-02,3,2466,8334700,72,3379.845904298459,거제도,24.32857142857143,6.714285714285714,10,1,40,-0.992708874098054,0.1205366802553232,1603.75,1627.4166666666667,1257.0,2515.0,2064.0,4011.853619729515,3269.818662085887
2023-10-09,3,1996,7814700,76,3915.180360721443,거제도,22.442857142857143,6.857142857142857,10,1,41,-0.9709418174260521,0.23931566428755738,2075.5,1790.8333333333333,2466.0,1257.0,2515.0,3379.845904298459,3742.1549222710373
2023-10-16,3,3022,8562400,106,2833.3553937789543,거제도,21.67142857142857,5.857142857142857,10,1,42,-0.9350162426854148,0.35460488704253557,2058.5,1908.5833333333333,1996.0,2466.0,1257.0,3915.180360721443,3993.3700705909328
2023-10-23,3,2036,4001900,65,1965.5697445972496,거제도,20.5,4.285714285714286,10,1,43,-0.8854560256532101,0.464723172043768,2185.25,2158.4166666666665,3022.0,1996.0,2466.0,2833.3553937789543,3535.0588196320928
2023-10-30,3,3193,5342400,88,1673.160037582211,거제도,19.82857142857143,5.057142857142857,10,1,44,-0.822983865893657,0.5680647467311548,2380.0,2053.6666666666665,2036.0,3022.0,1996.0,1965.5697445972496,3023.4878508490265
2023-11-06,3,6208,9685000,71,1560.083762886598,거제도,18.900000000000002,7.1000000000000005,11,1,45,-0.7485107481711011,0.6631226582407952,2561.75,2185.0833333333335,3193.0,2036.0,3022.0,1673.160037582211,2596.8163841699643
2023-11-13,3,3268,5307000,75,1623.9290085679315,거제도,19.342857142857145,6.857142857142857,11,1,46,-0.6631226582407955,0.7485107481711007,3614.75,2603.1666666666665,6208.0,3193.0,2036.0,1560.083762886598,2008.0422347112533
2023-11-20,3,2217,3300000,67,1488.4979702300407,거제도,18.82857142857143,5.814285714285715,11,1,47,-0.5680647467311559,0.8229838658936564,3676.25,2487.0833333333335,3268.0,6208.0,3193.0,1623.9290085679315,1705.6856384084977
